"상품명,조사일,판매가격,판매업소,제조사,세일여부,1+1"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트풍산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트포천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트평택점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트펜타포트점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트파주운정점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트파주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트통영점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트킨텍스점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트충주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트칠성점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트청계천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트천호점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트천안터미널점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트창원점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트진주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트창동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트진접점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트중동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트인천공항점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트일산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트익산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트이천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트포항이동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트이문점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트은평점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트월계점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트가양점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트죽전점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트덕이점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2780,농협유통부산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트용인점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트연수점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트명일점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트마포점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트동해점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트동인천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트동구미점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트동백점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트대전터미널점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트김해점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트김포한강점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트김천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트금정점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트구로점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트군산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트광산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트광명소하점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트과천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트경산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트경기광주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트검단점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트감삼점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트왕십리점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트오산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트양산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트영천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트여주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트연제점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트여의도점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트양주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트안성점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트안동점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트신제주점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트아산점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트순천점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트수지점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트속초점,머거본,N,N"
"머거본 꿀땅콩(135g),2018-09-21,2880,이마트세종점,머거본,N,N"
